Relative Path,File Name,Extension,File Size (bytes),Package,Test,Dimensions (pixels),Colour,Cardinality,Subject,Fingerprint Type,Gender,Eyes,Mouth,Background,Facing,Rotation,Same subject,Same image as,Other,,,RGB_bytes_match,RGBA_bytes_match,BW_bytes_match,bytes_match,skip_bytes_checks
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.setUpClass,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyExtractAndMatch,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyTrackResultsSingle,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyQualityCheckIris,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye10.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye10.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye2.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye2.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisTemplateTest.setUpClass,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye2.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.setUpClass,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye2.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisThreadSafetyTest.testThreadSafetyExtractAndMatch,640x480,BW,One,Right Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
