Relative Path,File Name,File Extension,File Size,Package,Test,Dimensions
common,finger6.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger7.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger7.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger7.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger8.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger8.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger8.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger9.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger9.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger9.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,fingerAEE,-,16384,NF,NF,NF
common,fingerchachaCorruptF,-,16384,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,fingerDBEncAES,-,12288,com.gemalto.cogent.test.finger,EncryptedAESFingerPrintDB.setUpClass,NF
common,fingerDBEncChacha,-,12288,NF,NF,NF
common,fingert_db_CleanUp,-,12288,NF,NF,NF
common,finger_180.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger_180.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,fingetestdb,-,16384,NF,NF,NF
common,FVC2000_Db1_100_1.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ1,NF
common,FVC2000_Db1_100_1.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ2,NF
common,FVC2000_Db1_100_1.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.testThreadSafetyNFIQ1,300x300
common,FVC2000_Db1_100_1.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.testThreadSafetyNFIQ2,300x300
common,FVC2000_Db1_100_2.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ1,NF
common,FVC2000_Db1_100_2.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ2,NF
common,FVC2000_Db1_100_2.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.testThreadSafetyNFIQ1,300x300
common,FVC2000_Db1_100_2.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.testThreadSafetyNFIQ2,300x300
common,FVC2000_Db1_100_3.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ1,NF
common,FVC2000_Db1_100_3.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ2,NF
common,FVC2000_Db1_100_3.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.testThreadSafetyNFIQ1,300x300
common,FVC2000_Db1_100_3.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.testThreadSafetyNFIQ2,300x300
common,FVC2000_Db1_100_4.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ1,NF
common,FVC2000_Db1_100_4.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ2,NF
common,FVC2000_Db1_100_5.raw,.raw,90000,com.gemalto.cogent.test.finger,FingerAPITest.testNFIQ1,NF
